PPN;SYS
045753784;001465509
062657836;000679241
055866972;001481151
107766922;001366967
864892853;001255842
241915368;001530280
241915368;001530277
119850885;001491557
063788977;000910684
113932677;001447027
842458255;001231328
240969340;001378148
118573268;001481163
044042515;000478994
059857846;000317018
065189272;001107956
266295533;000383623
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
114576610;001454283
123849098;001514409
082706476;001314673
055406726;000599495
042824680;001979562
063305232;000850023
062684965;000685462
07923609X;001228876
059953160;000340971
040489132;001399605
802493777;001816546
162988680;001693046
05639456X;001753662
267339143;000693475
267339143;000693475
267339143;000693475
267339143;000693475
04002993X;000684189
15735492X;001661093
052661628;000732802
042481252;001485008
171708261;000969904
171657578;001752817
861995384;000559901
852684347;001303684
853514321;001390090
042743818;001294207
036280852;001278819
063358506;000862193
044305532;000521586
062422332;000646105
830303669;000821227
037060201;001041645
063203928;000829023
142256439;001851222
84080444X;000545098
096809337;001309172
109592182;001380490
101907516;
081761430;001361196
078191513;001293279
055895212;001483630
053040066;001461599
089871510;001332013
089870778;001464257
267325509;001466058
170173615;001742994
17056214X;001746292
114746710;001461794
052253716;001465427
066118131;001663778
184854334;001843407
046104224;001754467
172116368;001755988
120469391;001497823
048742368;001404493
09658257X;001307855
064254550;001039262
067385192;001480582
037063049;001242717
055101429;001477574
045643636;001358454
040779432;001767195
051013258;001815996
172484065;001738330
176741828;001792957
086827855;000961681
036995711;000964389
054897742;000013787
146476344;001610859
063958619;000945891
037062646;001314112
063311267;000851926
861974948;000559219
053191684;000912727
114471037;001453412
163974500;001700650
153198028;001640908
036281549;001278826
851614302;001390483
180808389;001805057
180807897;001805045
097323535;001334201
832940461;001292393
180805649;001804998
056765215;001298348
094965129;001298449
110122151;001470866
863547761;001120095
056227256;001355774
099928302;001324798
240692799;001355738
861383389;001497423
040651401;001355619
098191942;001357625
104091983;001350875
057443696;001494552
056943709;001319138
084010835;001228418
117360651;001477305
053402162;001465206
04853966X;001362433
047584750;001390332
094308489;001294026
038253712;001253788
11450573X;001453987
117170291;001475222
061430943;001647582
114504296;001453964
155010603;001647795
117471097;001478131
120366533;001496644
153384913;001641568
153301996;001641312
15332483X;001641398
095927573;001304919
049758632;001432342
062687840;000686083
052006158;001278752
861980557;001308050
830355103;001368718
860295605;001360304
865812462;001470977
865349150;001432735
864458967;001296770
049066234;001401072
049542923;001401074
054100194;001473086
048640794;001399647
051682109;001486488
085483451;001236605
102977631;001348975
106903810;001359799
111555647;001396573
067191673;001675767
843998172;001367516
121519422;001504937
09191485X;001289395
051768968;001339811
864895577;001255850
036800910;001290161
088019128;001260278
119886316;001491897
115528113;001469997
118720686;001482698
047626666;001336194
050642464;001392827
087308142;001256792
097767468;001318705
048327123;001453555
091692717;001289143
111790476;001398136
111790476;001398136
111790476;001398136
111790476;001398136
861126165;001398113
065137493;001093126
094937877;001356261
057080038;001246524
04073384X;001340301
09370660X;001294071
85077201X;001275160
061818747;000615153
109982975;001383403
107013479;001361206
11092794X;001391763
114244626;001450274
040132153;000626323
089742613;001270095
056693702;001378438
097079146;001312098
047938412;001399360
112544312;001461793
111379415;001395553
10818398X;001368624
046346546;001384989
035975520;000679629
043313086;000681058
832851108;001262768
124611907;000161579
063798379;000913183
862299233;000802679
862299381;000843835
086195409;001244466
112328539;001405609
864697473;001374494
106973037;001360716
086685295;001250494
151623554;001216641
065866738;000975753
153447788;001641894
063779951;000908061
865640610;001384485
056797141;001490637
085756512;001451623
040872203;001354452
86426545X;001242616
087729431;001254032
170560139;001746222
062858106;000723423
120236893;001494809
105426504;001356202
056393598;001413973
097564001;001349905
052022811;001503867
118795724;001483356
119451964;001487304
863895042;001487590
04769873X;001361809
108428168;001372198
109134494;001377852
107186314;001361856
059254181;000159696
065189264;001107952
167731920;001725040
863203221;001361056
036208353;001264586
865587310;001253898
047097736;001574345
053896807;000145807
079995578;001216638
14837140X;001641571
045597715;001375130
054679540;001298522
043731848;001381963
107282909;001362533
114164827;001449735
059104783;000102506
13885954X;001565377
058980334;000059139
05344342X;000066202
053443586;000066200
053443942;000066205
801438403;001354840
11206762X;001400571
852185855;001229766
066159016;000085116
852588976;002664999
852588976;000688033
120460432;001496792
081815883;000970826
063273721;000845034
037027077;001310126
089563247;001274080
119883597;001491836
110810945;001391187
037882090;000679838
062659545;000679839
062659561;000679841
043470017;000679840
155221280;001648404
15522168X;001648410
046067663;001506429
113851774;001445631
865363668;001248839
10481537X;001353976
054605873;001353973
097310859;001314512
03694033X;001264570
094865809;001297130
053195825;001297024
094819009;001296527
08801312X;001263684
085753890;001238661
087872226;001262058
091414784;001285581
067246389;001358483
097602434;001317059
097677159;001317629
119820870;001464720
105438669;001356424
086244523;001245467
090665325;001281225
113308183;001430028
107703432;001366191
840780648;001249600
860170500;000801444
168421895;001768019
056749503;000585035
040016544;000491173
850069491;000585032
079589766;001832106
841729069;000005575
84359022X;001430618
841441235;001448497
11521450X;001467303
843411813;001355215
117172332;001475244
089509927;001273289
049731254;001433090
107377969;001396888
036520497;001272230
037421654;001060554
114779163;001272204
850409837;001480771
066555086;000977271
036949140;001819031
056937563;001684753
06565417X;001837514
047067675;001299664
107243474;001362334
087316544;001257066
093637713;001293301
093637888;001293305
079995675;001296664
10966616X;001381199
109640608;001380924
036065587;001291118
832365262;000024705
124277381;001517315
123180945;001510314
107756781;001510315
123181089;001510321
036466689;001281114
036466689;001281114
036466689;001281114
036466689;001281114
864104480;000011497
12108924X;001502851
