ID;Filename
1874-349843;0219760001.tif
1874-349844;0219770001.tif
1874-349845;0219780001.tif
1874-349846;0219790001.tif
1874-349847;0219800001.tif
1874-349848;0219810001.tif
1874-349849;0219820001.tif
1874-349850;0219830001.tif
1874-352303;0219840001.tif
1874-349851;0219850001.tif
1874-349852;0219860001.tif
1874-349853;0219870001.tif
1874-349854;0219880001.tif
1874-349855;0219890001.tif
1874-350063;0219900001.tif
1874-349857;0219920001.tif
1874-349856;0219910001.tif
1874-349858;0219930001.tif
1874-349859;0219940001.tif
1874-352304;0219950001.tif
1874-349860;0219960001.tif
1874-349861;0219970001.tif
1874-349862;0219980001.tif
1874-349863;0219990001.tif
1874-349864;0220000001.tif
1874-349865;0220010001.tif
1874-349866;0220020001.tif
1874-349867;0220030001.tif
1874-349868;0220050001.tif
1874-349869;0220070001.tif
1874-349788;0213700001.tif
1874-349790;0213730001.tif
1874-349791;0213750001.tif
1874-349794;0213790001.tif
1874-349793;0213780001.tif
1874-349792;0213770001.tif
1874-349870;0220080001.tif
1874-349891;0213740001.tif
1874-349892;0213760001.tif
1874-349789;0213720001.tif
1874-349871;0220090001.tif
1874-352307;0224220001.tif
1874-349872;0220250001.tif
1874-350064;0220260001.tif
1874-349873;0220270001.tif
1874-350065;0220280001.tif
1874-350066;0220290001.tif
1874-350067;0220300001.tif
1874-350068;0220310001.tif
1874-350069;0220320001.tif
1874-350070;0220330001.tif
1874-350071;0220340001.tif
1874-350072;0220350001.tif
1874-350073;0220370001.tif
1874-349901;0220380001.tif
1874-350074;0220390001.tif
1874-351902;0220460005.tif
1874-350075;0220470001.tif
1874-350076;0220480001.tif
1874-292992;0134140001.tif
1874-350077;0220490001.tif
1874-352107;0220500003.tif
1874-350078;0220520001.tif
1874-350079;0220530001.tif
1874-350058;0217300001.tif
1874-350080;0220540001.tif
1874-351959;0220550001.tif
1874-350052;0216020001.tif
1874-350081;0220560001.tif
1874-350082;0220570001.tif
1874-350083;0220580001.tif
1874-350053;0216040001.tif
1874-351960;0220590001.tif
1874-350084;0220600001.tif
1874-351081;0220610001.tif
1874-292993;0134150001.tif
1874-350085;0220620001.tif
1874-350086;0220630001.tif
1874-351961;0220640010.tif
1874-350087;0220650001.tif
1874-350088;0220660001.tif
1874-350089;0220670001.tif
1874-350090;0220760001.tif
1874-350091;0220770001.tif
1874-350092;0220780001.tif
1874-350093;0220790001.tif
